praca,preco_vista,preco_30d,data
GO Reg. Sul,313.5,317.00,2026-06-12
MS Dourados,326.5,330.00,2026-06-12
MS C. Grande,327.5,331.00,2026-06-12
MS Três Lagoas,326.5,330.00,2026-06-12
RS Oeste (kg),11.75,11.90,2026-06-12
RS Pelotas (kg),11.9,12.05,2026-06-12
BA Sul,289.0,292.00,2026-06-12
BA Oeste,299.0,302.00,2026-06-12
MT Norte,326.5,330.00,2026-06-12
MT Sudoeste,331.5,335.00,2026-06-12
MT Cuiabá*,331.5,335.00,2026-06-12
MT Sudeste,331.5,335.00,2026-06-12
PR Noroeste,328.5,332.00,2026-06-12
SC,326.5,330.00,2026-06-12
MA Oeste,311.5,315.00,2026-06-12
Alagoas,326.5,330.00,2026-06-12
PA Marabá,326.5,330.00,2026-06-12
PA Redenção,326.5,330.00,2026-06-12
PA Paragominas,326.5,330.00,2026-06-12
RO Sudeste,326.5,330.00,2026-06-12
TO Sul,311.5,315.00,2026-06-12
TO Norte,316.5,320.00,2026-06-12
Acre,287.0,290.00,2026-06-12
ES,306.5,310.00,2026-06-12
RJ,313.5,317.00,2026-06-12
Roraima,311.5,315.00,2026-06-12
SP Barretos,331.5,335.00,2026-06-13
SP Araçatuba,331.5,335.00,2026-06-13
MG Triângulo,313.5,317.00,2026-06-13
MG B.Horizonte,306.5,310.00,2026-06-13
MG Norte,311.5,315.00,2026-06-13
MG Sul,306.5,310.00,2026-06-13
GO Goiânia,312.5,316.00,2026-06-13
GO Reg. Sul,313.5,317.00,2026-06-13
MS Dourados,326.5,330.00,2026-06-13
MS C. Grande,329.5,333.00,2026-06-13
MS Três Lagoas,326.5,330.00,2026-06-13
RS Oeste (kg),11.75,11.90,2026-06-13
RS Pelotas (kg),11.9,12.05,2026-06-13
BA Sul,289.0,292.00,2026-06-13
BA Oeste,299.0,302.00,2026-06-13
MT Norte,326.5,330.00,2026-06-13
MT Sudoeste,331.5,335.00,2026-06-13
MT Cuiabá*,331.5,335.00,2026-06-13
MT Sudeste,331.5,335.00,2026-06-13
PR Noroeste,328.5,332.00,2026-06-13
SC,326.5,330.00,2026-06-13
MA Oeste,311.5,315.00,2026-06-13
Alagoas,326.5,330.00,2026-06-13
PA Marabá,326.5,330.00,2026-06-13
PA Redenção,326.5,330.00,2026-06-13
PA Paragominas,326.5,330.00,2026-06-13
RO Sudeste,326.5,330.00,2026-06-13
TO Sul,311.5,315.00,2026-06-13
TO Norte,316.5,320.00,2026-06-13
Acre,287.0,290.00,2026-06-13
ES,306.5,310.00,2026-06-13
RJ,313.5,317.00,2026-06-13
Roraima,311.5,315.00,2026-06-13
SP Barretos,331.5,335.00,2026-06-14
SP Araçatuba,331.5,335.00,2026-06-14
MG Triângulo,313.5,317.00,2026-06-14
MG B.Horizonte,306.5,310.00,2026-06-14
MG Norte,311.5,315.00,2026-06-14
MG Sul,306.5,310.00,2026-06-14
GO Goiânia,312.5,316.00,2026-06-14
GO Reg. Sul,313.5,317.00,2026-06-14
MS Dourados,326.5,330.00,2026-06-14
MS C. Grande,329.5,333.00,2026-06-14
MS Três Lagoas,326.5,330.00,2026-06-14
RS Oeste (kg),11.75,11.90,2026-06-14
RS Pelotas (kg),11.9,12.05,2026-06-14
BA Sul,289.0,292.00,2026-06-14
BA Oeste,299.0,302.00,2026-06-14
MT Norte,326.5,330.00,2026-06-14
MT Sudoeste,331.5,335.00,2026-06-14
MT Cuiabá*,331.5,335.00,2026-06-14
MT Sudeste,331.5,335.00,2026-06-14
PR Noroeste,328.5,332.00,2026-06-14
SC,326.5,330.00,2026-06-14
MA Oeste,311.5,315.00,2026-06-14
Alagoas,326.5,330.00,2026-06-14
PA Marabá,326.5,330.00,2026-06-14
PA Redenção,326.5,330.00,2026-06-14
PA Paragominas,326.5,330.00,2026-06-14
RO Sudeste,326.5,330.00,2026-06-14
TO Sul,311.5,315.00,2026-06-14
TO Norte,316.5,320.00,2026-06-14
Acre,287.0,290.00,2026-06-14
ES,306.5,310.00,2026-06-14
RJ,313.5,317.00,2026-06-14
Roraima,311.5,315.00,2026-06-14
SP Barretos,331.5,335.00,2026-06-15
SP Araçatuba,331.5,335.00,2026-06-15
MG Triângulo,313.5,317.00,2026-06-15
MG B.Horizonte,306.5,310.00,2026-06-15
MG Norte,311.5,315.00,2026-06-15
MG Sul,306.5,310.00,2026-06-15
GO Goiânia,312.5,316.00,2026-06-15
GO Reg. Sul,313.5,317.00,2026-06-15
MS Dourados,326.5,330.00,2026-06-15
MS C. Grande,329.5,333.00,2026-06-15
MS Três Lagoas,326.5,330.00,2026-06-15
RS Oeste (kg),11.75,11.90,2026-06-15
RS Pelotas (kg),11.9,12.05,2026-06-15
BA Sul,289.0,292.00,2026-06-15
BA Oeste,299.0,302.00,2026-06-15
MT Norte,326.5,330.00,2026-06-15
MT Sudoeste,331.5,335.00,2026-06-15
MT Cuiabá*,331.5,335.00,2026-06-15
MT Sudeste,331.5,335.00,2026-06-15
PR Noroeste,328.5,332.00,2026-06-15
SC,326.5,330.00,2026-06-15
MA Oeste,311.5,315.00,2026-06-15
Alagoas,326.5,330.00,2026-06-15
PA Marabá,326.5,330.00,2026-06-15
PA Redenção,326.5,330.00,2026-06-15
PA Paragominas,326.5,330.00,2026-06-15
RO Sudeste,326.5,330.00,2026-06-15
TO Sul,311.5,315.00,2026-06-15
TO Norte,316.5,320.00,2026-06-15
Acre,287.0,290.00,2026-06-15
ES,306.5,310.00,2026-06-15
RJ,313.5,317.00,2026-06-15
Roraima,311.5,315.00,2026-06-15
SP Barretos,331.5,335.00,2026-06-16
SP Araçatuba,331.5,335.00,2026-06-16
MG Triângulo,313.5,317.00,2026-06-16
MG B.Horizonte,306.5,310.00,2026-06-16
MG Norte,311.5,315.00,2026-06-16
MG Sul,306.5,310.00,2026-06-16
GO Goiânia,312.5,316.00,2026-06-16
GO Reg. Sul,313.5,317.00,2026-06-16
MS Dourados,326.5,330.00,2026-06-16
MS C. Grande,329.5,333.00,2026-06-16
MS Três Lagoas,326.5,330.00,2026-06-16
RS Oeste (kg),11.65,11.80,2026-06-16
RS Pelotas (kg),11.9,12.05,2026-06-16
BA Sul,289.0,292.00,2026-06-16
BA Oeste,299.0,302.00,2026-06-16
MT Norte,321.5,325.00,2026-06-16
MT Sudoeste,326.5,330.00,2026-06-16
MT Cuiabá*,331.5,335.00,2026-06-16
MT Sudeste,331.5,335.00,2026-06-16
PR Noroeste,328.5,332.00,2026-06-16
SC,328.5,332.00,2026-06-16
MA Oeste,311.5,315.00,2026-06-16
Alagoas,326.5,330.00,2026-06-16
